phrase	n	count	loglik	pages	proper	example	loose_key	head_key
galfridus monemuthensis	2	34	563.01	33	True	Galfridus Monemuthensis	galfrid monemuthens	monemuthens
matthaeus florilegus	2	30	477.86	28	True	Matthaeus Florilegus	matthae florileg	florileg
hector boethius	2	15	305.03	15	True	Hector Boethius	hector boethi	boethi
johannes tinmuthensis	2	24	304.73	21	True	Johannes Tinmuthensis	johann tinmuthens	tinmuthens
polydorus vergilius	2	15	290.07	15	True	Polydorus Vergilius	polydor vergili	vergili
henricus huntingdoniensis	2	16	270.23	15	True	Henricus Huntingdoniensis	henric huntingdoniens	huntingdoniens
wintoniensis ecclesiae	2	23	261.76	19	False	Wintoniensis ecclesiae	wintoniens ecclesi	ecclesi
dominicae incarnationis	2	15	261.29	13	False	Dominicae Incarnationis	dominic incarnation	incarnation
pelagianam haeresim	2	18	260.63	16	False	Pelagianam haeresim	pelagian haeresi	haeresi
libero arbitrio	2	18	257.77	15	False	libero arbitrio	liber arbitri	arbitri
guilielmus malmesburiensis	2	19	249.59	18	True	Guilielmus Malmesburiensis	guilielm malmesburiens	malmesburiens
anno domini	2	29	232.22	27	False	anno Domini	ann domin	domin
ranulphus cestrensis	2	12	224.33	12	True	Ranulphus Cestrensis	ranulph cestrens	cestrens
incarnatione domini	2	17	210.93	16	False	incarnatione Domini	incarnation domin	domin
thomas rudburnus	2	13	210.47	11	True	Thomas Rudburnus	thom rudburn	rudburn
iterum quaerendum	2	12	197.82	3	False	Iterum quaerendum	it quaerend	quaerend
fidem christi	2	24	195.07	22	False	fidem Christi	fid christ	christ
glastoniensis ecclesiae	2	19	186.37	17	False	Glastoniensis ecclesiae	glastoniens ecclesi	ecclesi
radulphus niger	2	10	181.15	10	True	Radulphus Niger	radulph niger	niger
giraldus cambrensis	2	10	178.47	10	True	Giraldus Cambrensis	girald cambrens	cambrens
caesar baronius	2	11	175.78	11	True	Caesar Baronius	caesar baroni	baroni
fabius ethelwerdus	2	9	172.21	9	True	Fabius Ethelwerdus	fabi ethelwerd	ethelwerd
libro secundo	2	18	171.78	16	False	libro secundo	libr secund	secund
liberum arbitrium	2	12	169.67	8	False	liberum arbitrium	lib arbitr	arbitr
gratia dei	2	21	169.25	18	False	gratia Dei	grati de	de
matthaeus parisiensis	2	12	166.87	12	True	Matthaeus Parisiensis	matthae parisiens	parisiens
apostolicae sedis	2	10	151.53	9	False	apostolicae sedis	apostolic sed	sed
lucii regis	2	15	150.05	14	False	Lucii regis	luci reg	reg
constantini magni	2	11	147.4	10	False	Constantini magni	constantin magn	magn
florentius wigorniensis	2	8	147.34	8	True	Florentius Wigorniensis	florenti wigorniens	wigorniens
ponticus virunnius	2	7	146.99	7	False	Ponticus Virunnius	pontic virunni	virunni
dei gratiam	2	17	146.47	14	False	Dei gratiam	de grati	grati
bibliotheca cottoniana	2	10	142.62	10	False	bibliotheca Cottoniana	bibliothec cottonian	cottonian
gratiam dei	2	17	141.17	15	False	gratiam Dei	grati de	de
johannes caius	2	11	138.12	11	True	Johannes Caius	johann cai	cai
alphredo beverlacensi	2	6	133.01	5	True	Alphredo Beverlacensi	alphred beverlacens	beverlacens
henrico huntingdoniensi	2	8	131.94	8	True	Henrico Huntingdoniensi	henric huntingdoniens	huntingdoniens
guilielmo malmesburiensi	2	8	131.6	8	True	Guilielmo Malmesburiensi	guilielm malmesburiens	malmesburiens
anno gratiae	2	18	129.04	14	False	anno gratiae	ann grati	grati
liberi arbitrii	2	8	128.57	8	False	liberi arbitrii	liber arbitri	arbitri
gratiae dei	2	16	124.47	16	False	gratiae Dei	grati de	de
martinus polonus	2	6	124.01	6	True	Martinus Polonus	martin polon	polon
urbis legionum	2	10	119.56	10	False	urbis legionum	urb legion	legion
matthaeus westmonasteriensis	2	9	116.87	9	True	Matthaeus Westmonasteriensis	matthae westmonasteriens	westmonasteriens
insula avalloniae	2	8	116.8	6	False	insula Avalloniae	insul avalloni	avalloni
matthaeo florilego	2	6	116.37	6	True	Matthaeo Florilego	matthae florileg	florileg
regesto landavensi	2	7	115.79	6	False	regesto Landavensi	regest landavens	landavens
aurelii ambrosii	2	8	113.49	8	True	Aurelii Ambrosii	aureli ambrosi	ambrosi
verba faciens	2	8	111.89	8	False	verba faciens	verb facien	facien
philippus bergomensis	2	6	111.84	6	True	Philippus Bergomensis	philipp bergomens	bergomens
gratia christi	2	15	111.82	14	False	gratia Christi	grati christ	christ
annum domini	2	14	110.93	13	False	annum Domini	ann domin	domin
gestis palaestinis	2	7	108.83	7	False	gestis Palaestinis	gest palaestin	palaestin
annum christi	2	16	107.45	15	False	annum Christi	ann christ	christ
totius orbis	2	9	106.4	9	False	totius orbis	toti orb	orb
