head_key	phrase	count	pages	proper	example
aaron	beati aaron	3	2	False	beati Aaron
abbat	historia abbatum	3	3	False	historia abbatum
abbreviat	chronica britonum abbreviata	5	5	False	Chronica Britonum abbreviata
academi	cantabrigiensis academiae	5	5	False	Cantabrigiensis academiae
accepit	nomen accepit	6	6	False	nomen accepit
advent	anglorum adventum	5	5	False	Anglorum adventum
advent	annum adventus	3	2	False	annum adventus
advent	britanniam adventum	3	3	False	Britanniam adventum
advent	saxonum adventum	4	4	False	Saxonum adventum
aelfred	gestis aelfredi	4	4	False	gestis Aelfredi
aer	anno aerae	4	4	False	anno aerae
aetat	anno aetatis	4	2	False	anno aetatis
aetern	vitam aeternam	3	3	False	vitam aeternam
afric	plenario totius africae	3	2	False	plenario totius Africae
alban	martyris albani	3	3	False	martyris Albani
alban	sancti albani	6	5	False	sancti Albani
alban	sanctum albanum	3	3	False	Sanctum Albanum
alban	sanctus albanus	3	2	False	sanctus Albanus
alban	sanctorum albani	3	3	False	sanctorum Albani
albanens	guilielmo albanensi	3	3	True	Guilielmo Albanensi
albani	gildas albanius	3	3	True	Gildas Albanius
ali	multis aliis	5	4	False	multis aliis
ali	praeter alios	6	6	False	praeter alios
aliud	nihil aliud	8	8	False	nihil aliud
altar	vetusta ecclesia ante altare	3	1	False	vetusta ecclesia ante altare
altissiodorens	germanus altissiodorensis	3	3	True	Germanus Altissiodorensis
alypi	augustinus et alypius	3	3	False	Augustinus et Alypius
amantissim	carissime atque amantissime	4	4	False	carissime atque amantissime
ambrosi	aurelii ambrosii	8	8	True	Aurelii Ambrosii
ambrosi	aurelius ambrosius	3	3	True	Aurelius Ambrosius
ambrosi	victoria aurelii ambrosii	6	6	False	victoria Aurelii Ambrosii
amphibal	albani et amphibali	6	6	False	Albani et Amphibali
amphibal	coenobium in honore sancti amphibali	3	3	False	coenobium in honore sancti Amphibali
amphibal	honore sancti amphibali	3	3	False	honore sancti Amphibali
amphibal	sanctorum albani et amphibali	3	3	False	sanctorum Albani et Amphibali
amphibal	sancti amphibali	9	6	False	sancti Amphibali
angl	gente anglorum	3	3	False	gente Anglorum
