phrase	n	count	loglik	pages	proper	example	loose_key	head_key
nobilis decurio	2	4	65.03	4	False	nobilis decurio	nobil decuri	decuri
bibliotheca cottoniana	2	4	57.67	4	False	bibliotheca Cottoniana	bibliothec cottonian	cottonian
glastoniensis ecclesiae	2	5	57.59	4	False	Glastoniensis ecclesiae	glastoniens ecclesi	ecclesi
dominum sepelivit	2	4	55.47	4	False	Dominum sepelivit	domin sepelivit	sepelivit
fidem christi	2	7	55.27	6	False	fidem Christi	fid christ	christ
josepho arimathaeensi	2	4	52.04	3	True	Josepho Arimathaeensi	joseph arimathaeens	arimathaeens
libro secundo	2	5	51.69	5	False	libro secundo	libr secund	secund
vita josephi	2	5	50.87	3	False	vita Josephi	vit joseph	joseph
virgis torquatis	2	3	49.75	3	False	virgis torquatis	virg torquat	torquat
accusatoribus christianorum	2	3	47.52	2	False	accusatoribus Christianorum	accusator christian	christian
beato philippo	2	3	47.52	2	False	beato Philippo	beat philipp	philipp
verbum dei	2	5	47.13	5	False	verbum Dei	verb de	de
insula avalloniae	2	3	44.69	2	False	insula Avalloniae	insul avalloni	avalloni
beatae virginis	2	4	43.73	4	False	beatae virginis	beat virgin	virgin
virginis mariae	2	4	43.12	4	False	virginis Mariae	virgin mari	mari
suae matris	2	3	41.44	3	False	suae matris	su matr	matr
summo tiberii	2	3	40.79	3	False	summo Tiberii	summ tiberi	tiberi
absque ullo	2	3	40.19	3	False	absque ullo	ab ull	ull
gloriosae virginis	2	3	39.71	3	False	gloriosae virginis	glorios virgin	virgin
glastoniensium monachorum	2	3	39.21	2	False	Glastoniensium monachorum	glastonien monach	monach
bibliotheca collegii	2	3	38.3	3	False	bibliotheca Collegii	bibliothec collegi	collegi
passionem domini	2	4	38.04	4	False	passionem Domini	passion domin	domin
divina providentia	2	2	37.79	2	False	divina providentia	divin providenti	providenti
alphonso garsia	2	2	37.79	2	True	Alphonso Garsia	alphons garsi	garsi
adonis martyrologiis	2	2	37.79	2	False	Adonis martyrologiis	adon martyrologi	martyrologi
consentire renuebat	2	2	37.79	2	False	consentire renuebat	consentir renuebat	renuebat
melchiorem inchofer	2	2	37.79	2	False	Melchiorem Inchofer	melchior inchofer	inchofer
toletanus archiepiscopus	2	2	37.79	2	False	Toletanus archiepiscopus	toletan archiepiscop	archiepiscop
paganicis erroribus	2	2	37.79	2	False	paganicis erroribus	paganic error	error
sanctorum philippi	2	3	37.62	2	False	sanctorum Philippi	sanct philipp	philipp
johannes capgravius	2	3	34.03	3	True	Johannes Capgravius	johann capgravi	capgravi
mundum universum	2	2	33.97	2	False	mundum universum	mund univers	univers
gloriam meam	2	2	33.97	1	False	gloriam meam	glori me	me
nova audiens	2	2	33.97	2	False	nova audiens	nov audien	audien
probabilitatem contrariam	2	2	33.97	2	False	probabilitatem contrariam	probabilitat contrari	contrari
christum sepelivit	2	3	33.24	2	False	Christum sepelivit	christ sepelivit	sepelivit
caesaraugustani episcopi	2	2	32.25	2	False	Caesaraugustani episcopi	caesaraugustan episcop	episcop
martyrium subiit	2	2	32.25	2	False	martyrium subiit	martyr subiit	subiit
caroli magni	2	2	32.25	1	False	Caroli Magni	carol magn	magn
quandam capellam	2	2	32.25	2	False	quandam capellam	quand capell	capell
decimo quinto	2	2	32.25	2	False	decimo quinto	decim quint	quint
vetusta ecclesia	2	2	32.25	2	False	vetusta ecclesia	vetust ecclesi	ecclesi
erit apertum	2	2	32.25	1	False	erit apertum	erit apert	apert
anglorum regis	2	3	31.81	3	False	Anglorum regis	angl reg	reg
passionem christi	2	4	31.5	4	False	passionem Christi	passion christ	christ
humanum genus	2	2	31.06	2	False	humanum genus	human gen	gen
aerae christianae	2	2	31.06	2	False	aerae Christianae	aer christian	christian
veritate epistolae	2	2	31.06	2	False	veritate epistolae	veritat epistol	epistol
philippus apostolus	2	2	31.06	2	False	Philippus apostolus	philipp apostol	apostol
insulam nobilissimam	2	2	31.06	1	False	insulam nobilissimam	insul nobilissim	nobilissim
regis angliae	2	3	30.79	2	False	regis Angliae	reg angli	angli
magna glastoniensis	2	3	30.15	2	False	magna Glastoniensis	magn glastoniens	glastoniens
historiae ecclesiasticae	2	2	30.15	2	False	historiae ecclesiasticae	histori ecclesiastic	ecclesiastic
christianae pietatis	2	2	30.15	2	False	Christianae pietatis	christian pietat	pietat
religione christiana	2	2	30.15	1	False	religione Christiana	religion christian	christian
sanctis apostolis	2	2	29.42	2	False	sanctis apostolis	sanct apostol	apostol
annum christi	2	4	28.93	3	False	annum Christi	ann christ	christ
barnabae apostoli	2	2	28.79	1	False	Barnabae apostoli	barnab apostol	apostol
dicti monasterii	2	2	28.79	2	False	dicti monasterii	dict monasteri	monasteri
