head_key	phrase	count	pages	proper	example
admonition	gabrielis archangeli admonitionem	2	2	False	Gabrielis archangeli admonitionem
angli	joseph fuisset in anglia	2	2	False	Joseph fuisset in Anglia
angli	oratores regis angliae	2	1	False	oratores regis Angliae
angli	regis angliae	3	2	False	regis Angliae
angli	regnum angliae	2	2	False	regnum Angliae
ann	britanniam anno	2	2	False	Britanniam anno
ann	construxerunt anno	2	2	False	construxerunt anno
apert	erit apertum	2	1	False	erit apertum
apostol	barnabae apostoli	2	1	False	Barnabae apostoli
apostol	beato philippo apostolo	2	2	False	beato Philippo apostolo
apostol	philippus apostolus	2	2	False	Philippus apostolus
apostol	sanctis apostolis	2	2	False	sanctis apostolis
archiepiscop	toletanus archiepiscopus	2	2	False	Toletanus archiepiscopus
arimathae	josephum ab arimathaea	2	2	False	Josephum ab Arimathaea
arimathaeens	josepho arimathaeensi	4	3	True	Josepho Arimathaeensi
arimathi	joseph ab arimathia	14	12	False	Joseph ab Arimathia
arimathi	josepho ab arimathia	2	1	False	Josepho ab Arimathia
arimathi	josephi ab arimathia	2	1	False	Josephi ab Arimathia
arvirag	rege arvirago	2	2	False	rege Arvirago
audien	nova audiens	2	2	False	nova audiens
avalloni	insula avalloniae	3	2	False	insula Avalloniae
beat	assumptione beatae	2	2	False	assumptione beatae
bibliothec	habetur in bibliotheca	3	3	False	habetur in bibliotheca
britanni	misit in britanniam	3	3	False	misit in Britanniam
britanni	venerunt in britanniam	2	1	False	venerunt in Britanniam
caesar	summo tiberii caesaris	2	2	False	summo Tiberii Caesaris
capell	quandam capellam	2	2	False	quandam capellam
capgravi	johannes capgravius	3	3	True	Johannes Capgravius
christ	adventum christi	2	1	False	adventum Christi
christ	annum christi	4	3	False	annum Christi
christ	anno christi	3	2	False	anno Christi
christ	fidem christi	7	6	False	fidem Christi
christ	passionem christi	4	4	False	passionem Christi
christ	statim post passionem christi	2	2	False	Statim post passionem Christi
christian	accusatoribus christianorum	3	2	False	accusatoribus Christianorum
christian	aerae christianae	2	2	False	aerae Christianae
christian	religione christiana	2	1	False	religione Christiana
climat	diversa cosmi climata	2	1	False	diversa cosmi climata
