word	count	pct	pages	proper	loose_key
cap	57	0.897	21	False	cap
christi	37	0.582	22	True	christ
lib	33	0.519	20	False	lib
anno	32	0.504	16	False	ann
ejus	31	0.488	19	False	ej
joseph	29	0.456	13	True	joseph
pag	27	0.425	17	False	pag
fidem	23	0.362	13	False	fid
duodecim	23	0.362	12	False	duodeci
britanniam	21	0.331	14	True	britanni
libro	21	0.331	15	False	libr
arimathia	21	0.331	15	True	arimathi
dei	19	0.299	10	True	de
josephi	19	0.299	12	True	joseph
ver	18	0.283	8	False	ver
domini	17	0.268	12	True	domin
josepho	17	0.268	10	True	joseph
mariae	16	0.252	11	True	mari
tempore	15	0.236	11	False	tempor
jacobi	15	0.236	11	True	jacob
glastoniensis	15	0.236	7	True	glastoniens
annum	14	0.22	9	False	ann
dicitur	14	0.22	9	False	dicitur
virginis	14	0.22	10	False	virgin
terrae	13	0.205	10	False	terr
verbum	13	0.205	8	False	verb
ibi	13	0.205	9	False	ib
britannia	12	0.189	9	True	britanni
vid	12	0.189	10	False	vid
tom	12	0.189	9	False	to
christum	12	0.189	10	True	christ
regis	12	0.189	11	False	reg
vita	12	0.189	9	False	vit
ms	12	0.189	7	True	m
johannes	12	0.189	8	True	johann
paulo	11	0.173	9	True	paul
ann	11	0.173	8	False	ann
cujus	11	0.173	10	False	cuj
inquit	11	0.173	9	False	inquit
bibliotheca	11	0.173	7	False	bibliothec
habetur	11	0.173	7	False	habetur
discipulis	11	0.173	9	False	discipul
ibidem	11	0.173	7	False	ibid
temporibus	10	0.157	8	False	tempor
edit	10	0.157	8	False	edit
passionem	10	0.157	9	False	passion
sec	10	0.157	8	False	sec
corpus	10	0.157	7	False	corp
ecclesiae	10	0.157	9	False	ecclesi
sociis	10	0.157	8	False	soci
rex	10	0.157	8	False	rex
ecclesiam	10	0.157	7	False	ecclesi
christo	9	0.142	8	True	christ
jo	9	0.142	8	True	j
verba	9	0.142	7	False	verb
secundo	9	0.142	9	False	secund
apostolorum	9	0.142	8	False	apostol
legimus	9	0.142	7	False	legim
rege	9	0.142	7	False	reg
angliae	9	0.142	6	True	angli
honore	9	0.142	5	False	honor
anglorum	9	0.142	8	True	angl
